0.50693,0.47552,0.42708,0.36859,0.33105,0.17607,0.04128,NA,0.21466,0.4265,0.37979,0.48668
0.55322,0.5179,0.50928,0.44006,0.41301,0.27294,0.09126,0.00923,0.16199,0.4588,0.38252,0.51174
0.46792,0.42526,0.42826,0.37895,0.31975,0.2291,0.0668,0.0054,0.16033,0.45128,0.40274,0.44514
0.44042,0.35805,0.34335,0.28043,0.15824,0.01302,NA,NA,0.34895,0.3743,0.47158,0.55333
0.49822,0.51956,0.52851,0.48105,0.44146,0.29048,0.06981,0.00235,0.25255,0.38274,0.3312,0.44131
0.49475,0.52905,0.50048,0.40953,0.31834,0.11807,0.00396,NA,0.25281,0.39407,0.37982,0.45598
0.51962,0.49372,0.43594,0.34172,0.24633,0.06828,NA,NA,0.20086,0.3901,0.4164,0.55843
0.47534,0.47254,0.46555,0.43353,0.31333,0.15912,0.03257,NA,0.22663,0.43109,0.4103,0.47173
0.49724,0.46674,0.46643,0.39711,0.35712,0.20906,0.04858,NA,0.17547,0.38473,0.39548,0.45984
0.41311,0.36588,0.34589,0.27913,0.18674,0.04819,0.00168,NA,0.36329,0.34376,0.46078,0.46963
0.44142,0.32198,0.27354,0.2049,0.09938,0.00803,NA,0.25499,0.27803,0.37302,0.46209,0.54334
0.47775,0.44646,0.45007,0.38528,0.28572,0.12309,0.00916,0.08151,0.34037,0.39279,0.40568,0.4773
0.46149,0.51042,0.48215,0.42153,0.35214,0.13399,0.00401,NA,0.16817,0.40846,0.39151,0.44284
0.46879,0.52082,0.49708,0.38432,0.24179,0.07249,NA,NA,0.25885,0.38563,0.42851,0.51347
0.50203,0.50535,0.47649,0.36008,0.21439,0.04841,NA,NA,0.29852,0.39697,0.48337,0.54834
0.43564,0.40933,0.4117,0.38563,0.29032,0.13931,0.02374,NA,0.21424,0.38884,0.47866,0.43294
0.5052,0.42358,0.40084,0.34322,0.26028,0.08922,0.00521,NA,0.22598,0.32212,0.4486,0.58061
